accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,model
0.9995084499789336,0.9206349206349206,0.7837837837837838,0.8467153284671532,0.948022181579441,0.8231163098258758,"[[42643     5]
 [   16    58]]",RandomForest
0.9949674640700342,0.22988505747126436,0.8108108108108109,0.3582089552238806,0.927392748685658,0.7701841313611131,"[[42447   201]
 [   14    60]]",Voting
0.9827723421188147,0.07564102564102564,0.7972972972972973,0.13817330210772832,0.926579048097056,0.6030520597776065,"[[41927   721]
 [   15    59]]",SVM
0.9770141847291793,0.0609284332688588,0.8513513513513513,0.11371841155234658,0.9209953129832139,0.7831684271154549,"[[41677   971]
 [   11    63]]",LogisticRegression
0.9822339778100276,0.07240948813982521,0.7837837837837838,0.13257142857142856,0.8470455190699986,0.5164752625839927,"[[41905   743]
 [   16    58]]",DecisionTree
